track,compound,tire_age_bucket,avg_speed_kmh,min_speed_kmh,max_speed_kmh,throttle_percent,braking_percent,coasting_percent,avg_gear,gear_changes
Azerbaijan Grand Prix,INTERMEDIATE,old,177.94512498743904,60.233000000000004,293.973,0.4951024844720497,0.2677611114024812,0.0428706541234603,4.893219458050222,48.449999999999996
Azerbaijan Grand Prix,INTERMEDIATE,prime,176.42553183030944,60.233000000000004,296.67,0.4826150121065375,0.27103247743834535,0.04870807403564185,4.878292216452469,50.349999999999994
Azerbaijan Grand Prix,INTERMEDIATE,used,176.65392862225033,59.334,294.4225,0.4818559911304316,0.2722002727016733,0.04839586293680584,4.884727622058365,50.349999999999994
Azerbaijan Grand Prix,MEDIUM,cliff,194.96544824368507,66.0,328.46999936,0.533345084565527,0.23311638383197414,0.04094318013890935,4.986897007323639,55.0
Azerbaijan Grand Prix,MEDIUM,fresh,194.96544824368507,66.0,328.46999936,0.533345084565527,0.23311638383197414,0.04094318013890935,4.986897007323639,55.0
Azerbaijan Grand Prix,MEDIUM,old,194.96544824368507,66.0,328.46999936,0.533345084565527,0.23311638383197414,0.04094318013890935,4.986897007323639,55.0
Azerbaijan Grand Prix,MEDIUM,prime,196.11744182192905,67.0,326.0,0.5562422744128553,0.2250300842358604,0.0387984981226533,5.045893719806763,53.0
Azerbaijan Grand Prix,MEDIUM,used,196.1245018470454,65.0,322.0,0.5264483627204031,0.233800350262697,0.0377833753148614,5.137847642079807,56.0
Azerbaijan Grand Prix,SOFT,cliff,139.83466819516195,65.0,220.5,0.0285074094892742,0.14737586164633085,0.17953589083629526,3.6796795866069907,32.0
Azerbaijan Grand Prix,SOFT,fresh,139.83466819516195,65.0,220.5,0.0285074094892742,0.14737586164633085,0.17953589083629526,3.6796795866069907,32.0
Azerbaijan Grand Prix,SOFT,old,139.83466819516195,65.0,220.5,0.0285074094892742,0.14737586164633085,0.17953589083629526,3.6796795866069907,32.0
Azerbaijan Grand Prix,SOFT,prime,139.83466819516195,65.0,220.5,0.0285074094892742,0.14737586164633085,0.17953589083629526,3.6796795866069907,32.0
Azerbaijan Grand Prix,SOFT,used,139.83466819516195,65.0,220.5,0.0285074094892742,0.14737586164633085,0.17953589083629526,3.6796795866069907,32.0
Azerbaijan Grand Prix,WET,cliff,166.08727909417522,56.547999999999995,273.456,0.4273690773067331,0.28583850931677013,0.060722891566265036,4.638672350791716,46.800000000000004
Azerbaijan Grand Prix,WET,fresh,164.96455353462775,56.547999999999995,282.74,0.40337311976389945,0.3100060392255061,0.056284821661025754,4.643826528382371,48.6
Azerbaijan Grand Prix,WET,old,167.0586045488304,56.547999999999995,275.988,0.4219623447204969,0.29499105493493694,0.046767986316502135,4.69143721235743,45.9
Azerbaijan Grand Prix,WET,prime,165.63197871499574,56.547999999999995,278.52,0.41131961259079897,0.2985951022625839,0.05313608076615474,4.677125527114224,47.7
Azerbaijan Grand Prix,WET,used,165.846402399532,55.704,276.40999999999997,0.410672719713436,0.29988165636625025,0.05279548684015182,4.6832955551693605,47.7
Bahrain Grand Prix,HARD,cliff,199.83516486501594,63.0,304.0,0.5438122043931173,0.2080658256580383,0.047907103825136604,5.220606068824436,46.0
Bahrain Grand Prix,HARD,fresh,199.83516486501594,63.0,304.0,0.5438122043931173,0.2080658256580383,0.047907103825136604,5.220606068824436,46.0
Bahrain Grand Prix,HARD,old,199.2796958854904,60.0,301.0,0.5348525469168901,0.2090163934426229,0.0373961218836565,5.3392130257801895,45.0
Bahrain Grand Prix,HARD,prime,199.690369890141,62.0,304.0,0.5523182479241993,0.21020922948122056,0.041495711936960195,5.219296487904401,46.0
Bahrain Grand Prix,HARD,used,199.52591814884585,61.0,305.0,0.5514641900937082,0.20717680451500048,0.03781271998453495,5.217981557377049,45.5
Bahrain Grand Prix,INTERMEDIATE,cliff,179.65181321364935,56.637,273.296,0.4785547398659432,0.2455176742764852,0.05269781420765027,5.063987886759703,43.699999999999996
Bahrain Grand Prix,INTERMEDIATE,fresh,179.65181321364935,56.637,273.296,0.4785547398659432,0.2455176742764852,0.05269781420765027,5.063987886759703,43.699999999999996
Bahrain Grand Prix,INTERMEDIATE,old,179.15244660105589,53.94,270.599,0.4706702412868633,0.246639344262295,0.04113573407202215,5.179036635006784,42.75
Bahrain Grand Prix,INTERMEDIATE,prime,179.52164253123675,55.738,273.296,0.4860400581732954,0.24804689078784026,0.04564528313065622,5.062717593267269,43.699999999999996
Bahrain Grand Prix,INTERMEDIATE,used,179.3738004158124,54.839,274.195,0.4852884872824632,0.24446862932770055,0.041593991982988444,5.0614421106557375,43.225
Bahrain Grand Prix,MEDIUM,cliff,187.90762857248245,57.8185,287.59749999999997,0.5006549497215683,0.23134699223595528,0.047907103825136604,5.089620553359683,43.699999999999996
Bahrain Grand Prix,MEDIUM,fresh,187.90762857248245,57.8185,287.59749999999997,0.5006549497215683,0.23134699223595528,0.047907103825136604,5.089620553359683,43.699999999999996
Bahrain Grand Prix,MEDIUM,old,187.90762857248245,57.8185,287.59749999999997,0.5006549497215683,0.23134699223595528,0.047907103825136604,5.089620553359683,43.699999999999996
Bahrain Grand Prix,MEDIUM,prime,187.90762857248245,57.8185,287.59749999999997,0.5006549497215683,0.23134699223595528,0.047907103825136604,5.089620553359683,43.699999999999996
Bahrain Grand Prix,MEDIUM,used,187.90762857248245,57.8185,287.59749999999997,0.5006549497215683,0.23134699223595528,0.047907103825136604,5.089620553359683,43.699999999999996
Bahrain Grand Prix,SOFT,cliff,196.16344393131556,59.0,304.0,0.5152698412698413,0.21822535514421,0.048298231582689,5.089620553359683,49.0
Bahrain Grand Prix,SOFT,fresh,196.16344393131556,59.0,304.0,0.5152698412698413,0.21822535514421,0.048298231582689,5.089620553359683,49.0
Bahrain Grand Prix,SOFT,old,196.16344393131556,59.0,304.0,0.5152698412698413,0.21822535514421,0.048298231582689,5.089620553359683,49.0
Bahrain Grand Prix,SOFT,prime,197.2983361064145,61.0,306.0,0.5396825396825397,0.2077562326869806,0.0484094052558782,5.125668449197861,46.0
Bahrain Grand Prix,SOFT,used,200.77523921208603,62.0,306.0,0.5696551724137932,0.2030178326474623,0.0467914438502673,5.205882352941177,41.0
Bahrain Grand Prix,WET,cliff,168.66087914607346,53.172,256.57599999999996,0.40785915329483796,0.2704855733554498,0.057488524590163924,4.855163644006725,41.4
Bahrain Grand Prix,WET,fresh,168.66087914607346,53.172,256.57599999999996,0.40785915329483796,0.2704855733554498,0.057488524590163924,4.855163644006725,41.4
Bahrain Grand Prix,WET,old,168.1920633273539,50.64,254.04399999999998,0.4011394101876676,0.2717213114754098,0.0448753462603878,4.965468113975576,40.5
Bahrain Grand Prix,WET,prime,168.538672187279,52.327999999999996,256.57599999999996,0.41423868594314944,0.27327199832558674,0.04979485432435223,4.853945733751093,41.4
Bahrain Grand Prix,WET,used,168.39987491762588,51.484,257.42,0.41359814257028116,0.26932984586950065,0.045375263981441934,4.852722848360656,40.95
Belgian Grand Prix,HARD,cliff,230.37313284284164,72.0,328.0,0.63,0.150735294117647,0.0369942196531791,5.868292682926829,40.0
Belgian Grand Prix,HARD,fresh,230.37313284284164,72.0,328.0,0.63,0.150735294117647,0.0369942196531791,5.868292682926829,40.0
Belgian Grand Prix,HARD,old,232.15801922051853,71.0,325.0,0.6511056511056511,0.1390977443609022,0.0394088669950738,6.101137800252845,39.0
Belgian Grand Prix,HARD,prime,230.40978108087603,71.0,326.0,0.6321428571428571,0.1494532199270959,0.0350665054413542,5.885204081632653,39.0
Belgian Grand Prix,HARD,used,230.4981811802068,71.0,324.0,0.6371463714637147,0.1465201465201465,0.033452807646356,5.96372430471584,38.0
Belgian Grand Prix,INTERMEDIATE,cliff,207.10544642571463,64.72800000000001,294.872,0.5544,0.17786764705882344,0.04069364161849701,5.692243902439024,38.0
Belgian Grand Prix,INTERMEDIATE,fresh,207.10544642571463,64.72800000000001,294.872,0.5544,0.17786764705882344,0.04069364161849701,5.692243902439024,38.0
Belgian Grand Prix,INTERMEDIATE,old,208.71005927924617,63.829,292.175,0.572972972972973,0.16413533834586458,0.04334975369458119,5.918103666245259,37.05
Belgian Grand Prix,INTERMEDIATE,prime,207.13839319170756,63.829,293.074,0.5562857142857143,0.17635479951397315,0.038573155985489625,5.708647959183674,37.05
Belgian Grand Prix,INTERMEDIATE,used,207.21786488100594,63.829,291.276,0.5606888068880689,0.17289377289377286,0.0367980884109916,5.784812575574365,36.1
Belgian Grand Prix,MEDIUM,cliff,226.11021512916105,70.0,334.0,0.6111111111111112,0.1619047619047619,0.0456182472989195,5.766944114149822,41.0
Belgian Grand Prix,MEDIUM,fresh,226.11021512916105,70.0,334.0,0.6111111111111112,0.1619047619047619,0.0456182472989195,5.766944114149822,41.0
Belgian Grand Prix,MEDIUM,old,230.1614774721029,69.0,321.0,0.6426858513189448,0.1326899879372738,0.0581257413997627,5.938848920863309,42.0
Belgian Grand Prix,MEDIUM,prime,226.1273752780194,70.0,324.0,0.6235431235431236,0.1498172959805115,0.0478468899521531,5.813953488372093,39.0
Belgian Grand Prix,MEDIUM,used,229.01784294396177,70.0,323.0,0.6350540216086434,0.135593220338983,0.0510083036773428,5.9092009685230025,42.0
Belgian Grand Prix,SOFT,cliff,228.55352671818912,73.0,330.0,0.6428550490127105,0.14442416014069942,0.0494295389802918,5.646597845471286,39.0
Belgian Grand Prix,SOFT,fresh,228.55352671818912,73.0,330.0,0.6428550490127105,0.14442416014069942,0.0494295389802918,5.646597845471286,39.0
Belgian Grand Prix,SOFT,old,230.01124337436318,73.0,321.0,0.6461446673532317,0.12238247070480845,0.05674194914675295,5.749825567228131,33.0
Belgian Grand Prix,SOFT,prime,228.61234210701778,73.0,323.0,0.638627289297804,0.13938816807522908,0.0499813106342491,5.6804112011853825,39.0
Belgian Grand Prix,SOFT,used,230.0261246153313,73.0,322.5,0.64444575907286,0.13557293420965505,0.045946843513589,5.754855965601584,35.0
Belgian Grand Prix,WET,cliff,194.43492411935833,60.768,276.832,0.47250000000000003,0.1959558823529411,0.04439306358381492,5.457512195121951,36.0
Belgian Grand Prix,WET,fresh,194.43492411935833,60.768,276.832,0.47250000000000003,0.1959558823529411,0.04439306358381492,5.457512195121951,36.0
Belgian Grand Prix,WET,old,195.94136822211763,59.924,274.3,0.48832923832923836,0.18082706766917286,0.04729064039408856,5.674058154235146,35.1
Belgian Grand Prix,WET,prime,194.46585523225937,59.924,275.144,0.47410714285714284,0.19428918590522468,0.04207980652962504,5.473239795918368,35.1
Belgian Grand Prix,WET,used,194.54046491609455,59.924,273.456,0.477859778597786,0.19047619047619047,0.0401433691756272,5.546263603385731,34.2
British Grand Prix,HARD,cliff,232.91927967076748,85.0,305.5,0.6666659873649887,0.1420389239861422,0.03212369839493615,5.7412190218103945,30.5
British Grand Prix,HARD,fresh,232.91927967076748,85.0,305.5,0.6666659873649887,0.1420389239861422,0.03212369839493615,5.7412190218103945,30.5
British Grand Prix,HARD,old,232.91927967076748,85.0,305.5,0.6666659873649887,0.1420389239861422,0.03212369839493615,5.7412190218103945,30.5
British Grand Prix,HARD,prime,233.34240526781934,80.0,307.5,0.6715435494573709,0.14610332786941227,0.0293950819125154,5.731082649557494,30.5
British Grand Prix,HARD,used,221.51489920613665,77.0,327.0,0.5779944289693594,0.1977715877437326,0.0362622036262203,5.591352859135286,35.0
British Grand Prix,INTERMEDIATE,cliff,204.14613266549904,71.0,299.0,0.5015606811610529,0.19024096201681695,0.053393968792950094,5.275417439703155,36.0
British Grand Prix,INTERMEDIATE,fresh,204.14613266549904,71.0,299.0,0.5015606811610529,0.19024096201681695,0.053393968792950094,5.275417439703155,36.0
British Grand Prix,INTERMEDIATE,old,204.14613266549904,71.0,299.0,0.5015606811610529,0.19024096201681695,0.053393968792950094,5.275417439703155,36.0
British Grand Prix,INTERMEDIATE,prime,203.91460396340193,69.0,300.0,0.4968381500579606,0.1867017335538098,0.050830845771144204,5.278565027266834,36.0
British Grand Prix,INTERMEDIATE,used,203.91460396340193,69.0,300.0,0.4968381500579606,0.1867017335538098,0.050830845771144204,5.278565027266834,36.0
British Grand Prix,MEDIUM,cliff,226.163166319502,83.0,311.0,0.5977175463623395,0.1678321678321678,0.0391608391608391,5.804034582132565,36.0
British Grand Prix,MEDIUM,fresh,226.163166319502,83.0,311.0,0.5977175463623395,0.1678321678321678,0.0391608391608391,5.804034582132565,36.0
British Grand Prix,MEDIUM,old,203.71207349296475,78.5,305.0,0.46081601207898365,0.2170059347754644,0.04166537749918005,5.201465396248366,39.5
British Grand Prix,MEDIUM,prime,226.75396896406264,83.0,305.0,0.6255380200860832,0.1528571428571428,0.0423728813559322,5.84822695035461,33.0
British Grand Prix,MEDIUM,used,221.9696944284021,81.0,305.0,0.5822784810126582,0.1774647887323943,0.0336605890603085,5.655495978552279,34.0
British Grand Prix,SOFT,cliff,228.6334037814749,84.0,304.5,0.6247312588401698,0.15322611271456782,0.02735793899587,5.877427239846117,33.0
British Grand Prix,SOFT,fresh,228.6334037814749,84.0,304.5,0.6247312588401698,0.15322611271456782,0.02735793899587,5.877427239846117,33.0
British Grand Prix,SOFT,old,228.6334037814749,84.0,304.5,0.6247312588401698,0.15322611271456782,0.02735793899587,5.877427239846117,33.0
British Grand Prix,SOFT,prime,229.88691968646657,83.0,304.0,0.6495094175856344,0.13999693861931728,0.03136138442843145,5.9101166816258495,32.0
British Grand Prix,SOFT,used,215.6420520264575,81.5,297.5,0.5937173858279052,0.22860298991089179,0.021039840930849048,5.614625524707269,33.5
British Grand Prix,WET,cliff,196.58387204212775,71.74,257.842,0.49999949052374154,0.18465060118198487,0.03854843807392338,5.339333690283667,27.45
British Grand Prix,WET,fresh,196.58387204212775,71.74,257.842,0.49999949052374154,0.18465060118198487,0.03854843807392338,5.339333690283667,27.45
British Grand Prix,WET,old,196.58387204212775,71.74,257.842,0.49999949052374154,0.18465060118198487,0.03854843807392338,5.339333690283667,27.45
British Grand Prix,WET,prime,196.94099004603953,67.52,259.53,0.5036576620930282,0.18993432623023596,0.03527409829501848,5.3299068640884695,27.45
British Grand Prix,WET,used,186.95857492997933,64.988,275.988,0.4334958217270195,0.2571030640668524,0.043514644351464356,5.199958158995816,31.5
Canadian Grand Prix,HARD,cliff,184.948525126557,53.0,307.5,0.47698666992784633,0.2360740816118856,0.0413617939674685,4.731591830288993,45.0
