race_id,year,round,track,driver,team,race_lap,stint,compound,tire_age,lap_time_sec,is_inlap,is_outlap,circuit_length(km)
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LEC,Ferrari,27.0,1.0,MEDIUM,27.0,82.743,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,27.0,1.0,MEDIUM,27.0,82.185,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,RUS,Mercedes,27.0,1.0,MEDIUM,27.0,82.62,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HAM,Mercedes,27.0,1.0,MEDIUM,27.0,83.203,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,MAG,Haas F1 Team,27.0,1.0,MEDIUM,27.0,83.847,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,27.0,1.0,MEDIUM,27.0,83.719,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,GAS,Alpine,27.0,1.0,MEDIUM,27.0,84.108,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,27.0,1.0,HARD,27.0,83.812,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,27.0,1.0,MEDIUM,27.0,82.905,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,27.0,1.0,HARD,27.0,82.758,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,BOT,Kick Sauber,27.0,1.0,HARD,28.0,83.553,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,27.0,1.0,HARD,28.0,83.835,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,OCO,Alpine,27.0,1.0,HARD,27.0,83.803,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,27.0,2.0,MEDIUM,7.0,82.772,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,SAI,Ferrari,28.0,1.0,MEDIUM,28.0,82.008,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LEC,Ferrari,28.0,1.0,MEDIUM,28.0,82.589,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,NOR,McLaren,28.0,1.0,MEDIUM,28.0,82.676,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,RUS,Mercedes,28.0,1.0,MEDIUM,28.0,82.598,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,MAG,Haas F1 Team,28.0,1.0,MEDIUM,28.0,84.049,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,28.0,1.0,MEDIUM,28.0,83.881,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,LAW,RB,28.0,1.0,HARD,28.0,83.999,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PIA,McLaren,28.0,1.0,MEDIUM,28.0,83.084,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,COL,Williams,28.0,1.0,HARD,28.0,83.125,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,BOT,Kick Sauber,28.0,1.0,HARD,29.0,83.45,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,ZHO,Kick Sauber,28.0,1.0,HARD,29.0,85.184,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,OCO,Alpine,28.0,1.0,HARD,28.0,83.115,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,VER,Red Bull Racing,28.0,2.0,HARD,2.0,82.325,False,False,4.304
2024_20_Mexico_City_Grand_Prix,2024,20,Mexico City Grand Prix,PER,Red Bull Racing,28.0,2.0,MEDIUM,8.0,82.818,False,False,4.304
